system,label,role,exactness,precision,recall,f1,f1_ci95,delta_f1_vs_trace_control,gt_coverage_iog03,delta_gt_coverage_vs_trace_control,iou_at_0_5,no_box_rate,interpretation
GROVE_full_paper_archived,GROVE full system,Primary system,exact_cached_full_system,0.7261,0.7952,0.7591,"[0.7014, 0.8077]",,0.7449,,0.5101,0.0036,Primary archived paper-facing GROVE run.
GROVE_trace_qwen35_9b_final,GROVE trace control,Ablation control,exact_cached_trace_full_system,0.4080,0.6762,0.5090,"[0.4481, 0.5629]",+0.0000,0.7530,+0.0000,0.4980,0.0120,Trace-enabled control used for exact ablation deltas.
baseline_direct_qwen35_27b,Best single-pass baseline,Fairness baseline,exact_cached_baseline,0.5142,0.6048,0.5558,"[0.4958, 0.6065]",,0.4696,,0.2267,0.3220,Best single-pass baseline selected by identification F1.
ablation_path1_only_no_path2,Path 1 only,Ablation,exact_from_trace_pre_reasoning,0.4040,0.6714,0.5045,"[0.4457, 0.5574]",-0.0045,0.7530,+0.0000,0.4980,0.0120,Removes Path 2 verification from the trace-enabled pipeline.
ablation_path2_only_no_grounding,Path 2 only,Ablation,posthoc_lower_bound_trace_retained_only,0.4444,0.6476,0.5271,"[0.4665, 0.5821]",+0.0181,0.0000,-0.7530,0.0000,1.0000,Lower-bound Path 2-only alternative; retained hazards have all boxes stripped.
ablation_no_reconciliation_union,No reconciliation,Ablation,posthoc_union_rule,0.4046,0.6762,0.5062,"[0.4457, 0.5593]",-0.0028,0.7530,+0.0000,0.4980,0.0119,Replaces reconciliation with a simple union rule.
ablation_groundingdino_only,GroundingDINO only,Ablation,posthoc_source_filter,0.4323,0.6238,0.5107,"[0.4524, 0.5635]",+0.0017,0.7328,-0.0202,0.4858,0.0000,Keeps only hazards grounded by the primary GroundingDINO source.
ablation_gdino_detr_openclip_stack_only,GDINO + DETR/OpenCLIP stack,Ablation,exact_from_trace_grounded_pre_reasoning,0.4087,0.6714,0.5081,"[0.4492, 0.5619]",-0.0009,0.7530,+0.0000,0.4980,0.0000,Tests the grounding stack without final Path 2 reconciliation.
ablation_qwen_image_only_no_grounding,"Qwen image-only, no grounding",Ablation,exact_cached_direct_identification_posthoc_no_boxes,0.3835,0.6190,0.4736,"[0.4219, 0.5229]",-0.0354,0.0000,-0.7530,0.0000,1.0000,Uses cached image reasoning labels without grounding boxes.
ablation_caption_only_keyword_proxy,Caption-only keyword proxy,Ablation,fallback_caption_keyword_proxy,0.1637,0.9762,0.2804,"[0.2392, 0.3163]",-0.2286,0.0000,-0.7530,0.0000,1.0000,"Deterministic caption-keyword proxy, not a rerun VLM."
ablation_image_only_reasoning,Image-only reasoning,Ablation,exact_cached_direct,0.3835,0.6190,0.4736,"[0.4219, 0.5229]",-0.0354,0.3887,-0.3643,0.1417,0.3928,Image-only reasoning path from cached trace fields.
ablation_no_fallback_grounding_drop,"No fallback, drop hazards",Ablation,posthoc_source_filter,0.4314,0.6286,0.5116,"[0.4497, 0.5637]",+0.0026,0.7328,-0.0202,0.4858,0.0139,Drops hazards that depended on fallback grounding.
ablation_no_fallback_grounding_boxes_removed,"No fallback, strip boxes",Ablation,posthoc_box_filter,0.4080,0.6762,0.5090,"[0.4481, 0.5629]",+0.0000,0.7328,-0.0202,0.4858,0.1507,Keeps fallback-dependent hazards but removes their boxes.
ablation_no_path2_verification,No Path 2 verification,Ablation,exact_from_trace_pre_reasoning,0.4040,0.6714,0.5045,"[0.4457, 0.5574]",-0.0045,0.7530,+0.0000,0.4980,0.0120,Uses Path 1 pre-verification hazards as final outputs.
ablation_no_path2_stage_correction,No Path 2 stage correction,Ablation,posthoc_text_match,0.4080,0.6762,0.5090,"[0.4481, 0.5629]",+0.0000,0.7530,+0.0000,0.4980,0.0120,Removes Path 2 category/stage correction while retaining detections.
ablation_grounded_final_only,Grounded final only,Ablation,posthoc_grounding_filter,0.4128,0.6762,0.5126,"[0.4517, 0.5674]",+0.0036,0.7530,+0.0000,0.4980,0.0000,Keeps final hazards only when a grounding box is present.
